codigo_dane,municipio,subregion,periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,fuente,estimado
05490,Necoclí,Caribe,2002-2004,2002,2004,Bosque Estable,20885.4,10442.7,shapefile,False
05490,Necoclí,Caribe,2002-2004,2002,2004,Deforestación,458.75,229.38,shapefile,False
05490,Necoclí,Caribe,2002-2004,2002,2004,No Bosque Estable,103354.59,51677.3,shapefile,False
05490,Necoclí,Caribe,2002-2004,2002,2004,Sin Información,312.85,156.43,shapefile,False
05543,Peque,Nutibara,2002-2004,2002,2004,Bosque Estable,14222.48,7111.24,shapefile,False
05543,Peque,Nutibara,2002-2004,2002,2004,Deforestación,52.97,26.48,shapefile,False
05543,Peque,Nutibara,2002-2004,2002,2004,No Bosque Estable,29080.72,14540.36,shapefile,False
05659,San Juan de Urabá,Caribe,2002-2004,2002,2004,Bosque Estable,240.2,120.1,shapefile,False
05659,San Juan de Urabá,Caribe,2002-2004,2002,2004,Deforestación,2.32,1.16,shapefile,False
05659,San Juan de Urabá,Caribe,2002-2004,2002,2004,No Bosque Estable,24839.93,12419.96,shapefile,False
05665,San Pedro de Urabá,Caribe,2002-2004,2002,2004,Bosque Estable,1509.08,754.54,shapefile,False
05665,San Pedro de Urabá,Caribe,2002-2004,2002,2004,Deforestación,14.19,7.1,shapefile,False
05665,San Pedro de Urabá,Caribe,2002-2004,2002,2004,No Bosque Estable,54992.64,27496.32,shapefile,False
05837,Turbo,Centro,2002-2004,2002,2004,Bosque Estable,72753.04,36376.52,shapefile,False
05837,Turbo,Centro,2002-2004,2002,2004,Deforestación,1231.42,615.71,shapefile,False
05837,Turbo,Centro,2002-2004,2002,2004,No Bosque Estable,214497.68,107248.84,shapefile,False
05837,Turbo,Centro,2002-2004,2002,2004,Sin Información,165.24,82.62,shapefile,False
05842,Uramita,Nutibara,2002-2004,2002,2004,Bosque Estable,4602.72,2301.36,shapefile,False
05842,Uramita,Nutibara,2002-2004,2002,2004,Deforestación,21.56,10.78,shapefile,False
05842,Uramita,Nutibara,2002-2004,2002,2004,No Bosque Estable,21940.24,10970.12,shapefile,False
05847,Urrao,Urrao,2002-2004,2002,2004,Bosque Estable,168096.28,84048.14,shapefile,False
05847,Urrao,Urrao,2002-2004,2002,2004,Deforestación,273.97,136.99,shapefile,False
05847,Urrao,Urrao,2002-2004,2002,2004,No Bosque Estable,77750.99,38875.5,shapefile,False
05847,Urrao,Urrao,2002-2004,2002,2004,Sin Información,8141.87,4070.94,shapefile,False
05873,Vigía del Fuerte,Atrato,2002-2004,2002,2004,Bosque Estable,140983.95,70491.98,shapefile,False
05873,Vigía del Fuerte,Atrato,2002-2004,2002,2004,Deforestación,47.14,23.57,shapefile,False
05873,Vigía del Fuerte,Atrato,2002-2004,2002,2004,No Bosque Estable,15731.94,7865.97,shapefile,False
05873,Vigía del Fuerte,Atrato,2002-2004,2002,2004,Sin Información,8678.61,4339.3,shapefile,False
05004,Abriaquí,Nutibara,2004-2006,2004,2006,Bosque Estable,13395.04,6697.52,shapefile,False
05004,Abriaquí,Nutibara,2004-2006,2004,2006,No Bosque Estable,16267.96,8133.98,shapefile,False
05045,Apartadó,Centro,2004-2006,2004,2006,Bosque Estable,17662.97,8831.48,shapefile,False
05045,Apartadó,Centro,2004-2006,2004,2006,Deforestación,62.23,31.12,shapefile,False
05045,Apartadó,Centro,2004-2006,2004,2006,No Bosque Estable,35376.58,17688.29,shapefile,False
05045,Apartadó,Centro,2004-2006,2004,2006,Sin Información,179.33,89.66,shapefile,False
05051,Arboletes,Caribe,2004-2006,2004,2006,Bosque Estable,1067.58,533.79,shapefile,False
05051,Arboletes,Caribe,2004-2006,2004,2006,Deforestación,156.71,78.36,shapefile,False
05051,Arboletes,Caribe,2004-2006,2004,2006,No Bosque Estable,72821.66,36410.83,shapefile,False
05051,Arboletes,Caribe,2004-2006,2004,2006,Regeneración,19.05,9.52,shapefile,False
05147,Carepa,Centro,2004-2006,2004,2006,Bosque Estable,6539.4,3269.7,shapefile,False
05147,Carepa,Centro,2004-2006,2004,2006,Deforestación,69.28,34.64,shapefile,False
05147,Carepa,Centro,2004-2006,2004,2006,No Bosque Estable,31656.11,15828.06,shapefile,False
05147,Carepa,Centro,2004-2006,2004,2006,Sin Información,98.75,49.38,shapefile,False
05138,Cañasgordas,Nutibara,2004-2006,2004,2006,Bosque Estable,11892.77,5946.38,shapefile,False
05138,Cañasgordas,Nutibara,2004-2006,2004,2006,Deforestación,22.27,11.14,shapefile,False
05138,Cañasgordas,Nutibara,2004-2006,2004,2006,No Bosque Estable,24530.13,12265.06,shapefile,False
05172,Chigorodó,Centro,2004-2006,2004,2006,Bosque Estable,20894.94,10447.47,shapefile,False
05172,Chigorodó,Centro,2004-2006,2004,2006,Deforestación,140.54,70.27,shapefile,False
05172,Chigorodó,Centro,2004-2006,2004,2006,No Bosque Estable,49356.19,24678.1,shapefile,False
05172,Chigorodó,Centro,2004-2006,2004,2006,Sin Información,70.01,35.01,shapefile,False
05234,Dabeiba,Nutibara,2004-2006,2004,2006,Bosque Estable,143764.41,71882.2,shapefile,False
05234,Dabeiba,Nutibara,2004-2006,2004,2006,Deforestación,113.98,56.99,shapefile,False
05234,Dabeiba,Nutibara,2004-2006,2004,2006,No Bosque Estable,49244.42,24622.21,shapefile,False
05234,Dabeiba,Nutibara,2004-2006,2004,2006,Sin Información,1799.15,899.58,shapefile,False
05284,Frontino,Nutibara,2004-2006,2004,2006,Bosque Estable,92274.91,46137.46,shapefile,False
05284,Frontino,Nutibara,2004-2006,2004,2006,Deforestación,43.35,21.68,shapefile,False
05284,Frontino,Nutibara,2004-2006,2004,2006,No Bosque Estable,45320.23,22660.12,shapefile,False
05284,Frontino,Nutibara,2004-2006,2004,2006,Sin Información,586.97,293.48,shapefile,False
05306,Giraldo,Nutibara,2004-2006,2004,2006,Bosque Estable,1303.52,651.76,shapefile,False
05306,Giraldo,Nutibara,2004-2006,2004,2006,No Bosque Estable,8028.48,4014.24,shapefile,False
05475,Murindó,Atrato,2004-2006,2004,2006,Bosque Estable,106552.79,53276.4,shapefile,False
05475,Murindó,Atrato,2004-2006,2004,2006,Deforestación,325.56,162.78,shapefile,False
05475,Murindó,Atrato,2004-2006,2004,2006,No Bosque Estable,14138.21,7069.1,shapefile,False
05475,Murindó,Atrato,2004-2006,2004,2006,Regeneración,0.79,0.4,shapefile,False
05475,Murindó,Atrato,2004-2006,2004,2006,Sin Información,3875.48,1937.74,shapefile,False
05480,Mutatá,Centro,2004-2006,2004,2006,Bosque Estable,68393.51,34196.75,shapefile,False
05480,Mutatá,Centro,2004-2006,2004,2006,Deforestación,314.65,157.32,shapefile,False
05480,Mutatá,Centro,2004-2006,2004,2006,No Bosque Estable,35926.48,17963.24,shapefile,False
05480,Mutatá,Centro,2004-2006,2004,2006,Regeneración,21.64,10.82,shapefile,False
