periodo,ano_inicio,ano_fin,municipio,codigo_dane,subregion,n_parches,ha_total,tamano_medio_ha,tamano_mediano_ha,tamano_max_ha,pct_parches_grandes,fuente_calidad
2022-2023,2022,2023,Turbo,05837,Centro,98,143.59,1.465,0.95,15.86,1.02,shapefile_ok
2022-2023,2022,2023,Frontino,05284,Nutibara,78,109.91,1.409,0.97,18.59,1.28,shapefile_ok
2022-2023,2022,2023,Mutatá,05480,Centro,42,83.95,1.999,1.515,10.13,2.38,shapefile_ok
2022-2023,2022,2023,Murindó,05475,Atrato,62,72.63,1.171,0.88,8.62,0.0,shapefile_ok
2022-2023,2022,2023,Arboletes,05051,Caribe,2,58.66,29.33,29.33,57.6,50.0,shapefile_ok
2022-2023,2022,2023,Apartadó,05045,Centro,28,45.78,1.635,1.415,4.12,0.0,shapefile_ok
2022-2023,2022,2023,Necoclí,05490,Caribe,21,34.68,1.651,1.49,5.39,0.0,shapefile_ok
2022-2023,2022,2023,Vigía del Fuerte,05873,Atrato,30,33.05,1.102,0.825,3.9,0.0,shapefile_ok
2022-2023,2022,2023,Chigorodó,05172,Centro,16,17.46,1.091,0.83,4.56,0.0,shapefile_ok
2022-2023,2022,2023,San Pedro de Urabá,05665,Caribe,8,13.57,1.696,1.465,4.46,0.0,shapefile_ok
2022-2023,2022,2023,Cañasgordas,05138,Nutibara,8,10.9,1.363,1.285,1.77,0.0,shapefile_ok
2022-2023,2022,2023,San Juan de Urabá,05659,Caribe,2,8.61,4.305,4.305,8.52,0.0,shapefile_ok
2022-2023,2022,2023,Abriaquí,05004,Nutibara,13,8.24,0.634,0.19,2.93,0.0,shapefile_ok
2022-2023,2022,2023,Uramita,05842,Nutibara,8,6.15,0.769,0.315,3.08,0.0,shapefile_ok
2022-2023,2022,2023,Peque,05543,Nutibara,3,4.62,1.54,0.78,3.24,0.0,shapefile_ok
2022-2023,2022,2023,Carepa,05147,Centro,1,0.55,0.55,0.55,0.55,0.0,shapefile_ok
