idcu,cuenca,periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,n_poligonos,fuente,area_confiable,flag_calidad
5,León,2015-2016,2015,2016,Sin Información,2530.85,2530.85,271,shp:geometria,True,geometria_metrica
5,León,2016-2017,2016,2017,Bosque Estable,57426.67,57426.67,1805,shp:geometria,True,geometria_metrica
5,León,2016-2017,2016,2017,Deforestación,844.9,844.9,739,shp:geometria,True,geometria_metrica
5,León,2016-2017,2016,2017,No Bosque Estable,155907.94,155907.94,1375,shp:geometria,True,geometria_metrica
5,León,2016-2017,2016,2017,Regeneración,6.17,6.17,2,shp:geometria,True,geometria_metrica
5,León,2016-2017,2016,2017,Sin Información,2538.69,2538.69,268,shp:geometria,True,geometria_metrica
5,León,2017-2018,2017,2018,Bosque Estable,57426.67,57426.67,1805,shp:geometria,True,geometria_metrica
5,León,2017-2018,2017,2018,Deforestación,844.9,844.9,739,shp:geometria,True,geometria_metrica
5,León,2017-2018,2017,2018,No Bosque Estable,155907.94,155907.94,1375,shp:geometria,True,geometria_metrica
5,León,2017-2018,2017,2018,Regeneración,6.17,6.17,2,shp:geometria,True,geometria_metrica
5,León,2017-2018,2017,2018,Sin Información,2538.69,2538.69,268,shp:geometria,True,geometria_metrica
5,León,2019-2020,2019,2020,Bosque Estable,56573.14,56573.14,826,shp:geometria,True,geometria_metrica
5,León,2019-2020,2019,2020,Deforestación,137.83,137.83,82,shp:geometria,True,geometria_metrica
5,León,2019-2020,2019,2020,No Bosque Estable,159995.08,159995.08,809,shp:geometria,True,geometria_metrica
5,León,2019-2020,2019,2020,Sin Información,20.31,20.31,12,shp:geometria,True,geometria_metrica
5,León,2020-2021,2020,2021,Bosque Estable,56442.39,56442.39,839,shp:geometria,True,geometria_metrica
5,León,2020-2021,2020,2021,Deforestación,66.97,66.97,23,shp:geometria,True,geometria_metrica
5,León,2020-2021,2020,2021,Regeneración,160134.7,160134.7,844,shp:geometria,True,geometria_metrica
5,León,2020-2021,2020,2021,Sin Información,82.16,82.16,46,shp:geometria,True,geometria_metrica
5,León,2021-2022,2021,2022,Bosque Estable,109591.95,109591.95,873,xlsx:columna_area,False,columna_area_preclip_no_confiable
5,León,2021-2022,2021,2022,Deforestación,304.87,304.87,194,xlsx:columna_area,False,columna_area_preclip_no_confiable
5,León,2021-2022,2021,2022,No Bosque Estable,387546.54,387546.54,851,xlsx:columna_area,False,columna_area_preclip_no_confiable
5,León,2021-2022,2021,2022,Sin Información,124.66,124.66,73,xlsx:columna_area,False,columna_area_preclip_no_confiable
5,León,2022-2023,2022,2023,Bosque Estable,55856.54,55856.54,907,shp:geometria,True,geometria_metrica
5,León,2022-2023,2022,2023,Deforestación,61.56,61.56,39,shp:geometria,True,geometria_metrica
5,León,2022-2023,2022,2023,No Bosque Estable,160807.26,160807.26,941,shp:geometria,True,geometria_metrica
5,León,2023-2024,2023,2024,Bosque Estable,,,928,dbf:conteo,False,solo_conteo_sin_area
5,León,2023-2024,2023,2024,Deforestación,,,73,dbf:conteo,False,solo_conteo_sin_area
5,León,2023-2024,2023,2024,Regeneración,,,954,dbf:conteo,False,solo_conteo_sin_area
4,Mulaticos,2000-2002,2000,2002,Bosque Estable,1365.48,682.74,60,xlsx:columna_area,True,columna_validada_ok
4,Mulaticos,2000-2002,2000,2002,No Bosque Estable,12031.19,6015.6,37,xlsx:columna_area,True,columna_validada_ok
4,Mulaticos,2002-2004,2002,2004,Bosque Estable,1347.68,673.84,62,shp:geometria,True,geometria_metrica
4,Mulaticos,2002-2004,2002,2004,Deforestación,11.35,5.67,8,shp:geometria,True,geometria_metrica
4,Mulaticos,2002-2004,2002,2004,No Bosque Estable,12036.55,6018.27,37,shp:geometria,True,geometria_metrica
4,Mulaticos,2002-2004,2002,2004,Sin Información,2.13,1.06,4,shp:geometria,True,geometria_metrica
4,Mulaticos,2004-2006,2004,2006,Bosque Estable,1331.33,665.66,61,shp:geometria,True,geometria_metrica
4,Mulaticos,2004-2006,2004,2006,Deforestación,13.6,6.8,9,shp:geometria,True,geometria_metrica
4,Mulaticos,2004-2006,2004,2006,No Bosque Estable,12044.98,6022.49,36,shp:geometria,True,geometria_metrica
4,Mulaticos,2004-2006,2004,2006,Regeneración,7.78,3.89,1,shp:geometria,True,geometria_metrica
4,Mulaticos,2006-2008,2006,2008,Bosque Estable,1318.33,659.16,72,xlsx:columna_area,True,columna_validada_ok
4,Mulaticos,2006-2008,2006,2008,Deforestación,8.34,4.17,7,xlsx:columna_area,True,columna_validada_ok
4,Mulaticos,2006-2008,2006,2008,No Bosque Estable,12069.99,6034.99,36,xlsx:columna_area,True,columna_validada_ok
4,Mulaticos,2008-2010,2008,2010,Bosque Estable,1308.1,654.05,66,shp:geometria,True,geometria_metrica
4,Mulaticos,2008-2010,2008,2010,Deforestación,2.48,1.24,2,shp:geometria,True,geometria_metrica
4,Mulaticos,2008-2010,2008,2010,No Bosque Estable,12086.06,6043.03,36,shp:geometria,True,geometria_metrica
4,Mulaticos,2008-2010,2008,2010,Sin Información,1.06,0.53,1,shp:geometria,True,geometria_metrica
4,Mulaticos,2015-2016,2015,2016,Bosque Estable,1250.62,1250.62,39,shp:geometria,True,geometria_metrica
4,Mulaticos,2015-2016,2015,2016,Deforestación,2.87,2.87,2,shp:geometria,True,geometria_metrica
4,Mulaticos,2015-2016,2015,2016,No Bosque Estable,12144.21,12144.21,24,shp:geometria,True,geometria_metrica
4,Mulaticos,2016-2017,2016,2017,Bosque Estable,1249.3,1249.3,38,shp:geometria,True,geometria_metrica
4,Mulaticos,2016-2017,2016,2017,Deforestación,3.44,3.44,4,shp:geometria,True,geometria_metrica
4,Mulaticos,2016-2017,2016,2017,No Bosque Estable,12144.96,12144.96,19,shp:geometria,True,geometria_metrica
4,Mulaticos,2017-2018,2017,2018,Bosque Estable,1249.3,1249.3,38,shp:geometria,True,geometria_metrica
4,Mulaticos,2017-2018,2017,2018,Deforestación,3.44,3.44,4,shp:geometria,True,geometria_metrica
4,Mulaticos,2017-2018,2017,2018,No Bosque Estable,12144.96,12144.96,19,shp:geometria,True,geometria_metrica
4,Mulaticos,2019-2020,2019,2020,Bosque Estable,1453.27,1453.27,94,shp:geometria,True,geometria_metrica
4,Mulaticos,2019-2020,2019,2020,Deforestación,7.93,7.93,3,shp:geometria,True,geometria_metrica
4,Mulaticos,2019-2020,2019,2020,No Bosque Estable,11936.5,11936.5,17,shp:geometria,True,geometria_metrica
4,Mulaticos,2020-2021,2020,2021,Bosque Estable,1451.12,1451.12,95,shp:geometria,True,geometria_metrica
4,Mulaticos,2020-2021,2020,2021,Deforestación,2.36,2.36,3,shp:geometria,True,geometria_metrica
4,Mulaticos,2020-2021,2020,2021,Regeneración,11944.21,11944.21,16,shp:geometria,True,geometria_metrica
4,Mulaticos,2021-2022,2021,2022,Bosque Estable,6051.9,6051.9,95,xlsx:columna_area,False,columna_area_preclip_no_confiable
4,Mulaticos,2021-2022,2021,2022,No Bosque Estable,179591.41,179591.41,13,xlsx:columna_area,False,columna_area_preclip_no_confiable
4,Mulaticos,2022-2023,2022,2023,Bosque Estable,1398.41,1398.41,85,shp:geometria,True,geometria_metrica
4,Mulaticos,2022-2023,2022,2023,Deforestación,3.31,3.31,2,shp:geometria,True,geometria_metrica
4,Mulaticos,2022-2023,2022,2023,No Bosque Estable,11995.98,11995.98,21,shp:geometria,True,geometria_metrica
4,Mulaticos,2023-2024,2023,2024,Bosque Estable,,,85,dbf:conteo,False,solo_conteo_sin_area
4,Mulaticos,2023-2024,2023,2024,Deforestación,,,2,dbf:conteo,False,solo_conteo_sin_area
4,Mulaticos,2023-2024,2023,2024,Regeneración,,,20,dbf:conteo,False,solo_conteo_sin_area
3,San Juan,2000-2002,2000,2002,Bosque Estable,2508.94,1254.47,277,xlsx:columna_area,True,columna_validada_ok
3,San Juan,2000-2002,2000,2002,Deforestación,3.45,1.73,2,xlsx:columna_area,True,columna_validada_ok
3,San Juan,2000-2002,2000,2002,No Bosque Estable,133521.82,66760.91,102,xlsx:columna_area,True,columna_validada_ok
