periodo,ano_inicio,ano_fin,municipio,codigo_dane,subregion,n_parches,ha_total,tamano_medio_ha,tamano_mediano_ha,tamano_max_ha,pct_parches_grandes,fuente_calidad
2020-2021,2020,2021,Chigorodó,05172,Centro,6,14.37,2.395,1.915,5.02,0.0,shapefile_ok
2020-2021,2020,2021,Peque,05543,Nutibara,2,8.17,4.085,4.085,5.91,0.0,shapefile_ok
2020-2021,2020,2021,San Pedro de Urabá,05665,Caribe,3,5.98,1.993,2.03,2.08,0.0,shapefile_ok
2020-2021,2020,2021,Uramita,05842,Nutibara,2,3.07,1.535,1.535,1.82,0.0,shapefile_ok
2021-2022,2021,2022,Dabeiba,05234,Nutibara,185,525.48,2.84,1.73,39.6,3.78,shapefile_ok
2021-2022,2021,2022,Frontino,05284,Nutibara,104,323.06,3.106,1.835,65.24,1.92,shapefile_ok
2021-2022,2021,2022,Mutatá,05480,Centro,93,250.87,2.698,1.77,15.71,4.3,shapefile_ok
2021-2022,2021,2022,Urrao,05847,Urrao,105,243.93,2.323,1.98,8.08,0.0,shapefile_ok
2021-2022,2021,2022,Turbo,05837,Centro,85,177.37,2.087,1.52,9.79,0.0,shapefile_ok
2021-2022,2021,2022,Murindó,05475,Atrato,82,151.58,1.849,1.515,5.56,0.0,shapefile_ok
2021-2022,2021,2022,Apartadó,05045,Centro,45,109.33,2.43,1.76,12.19,2.22,shapefile_ok
2021-2022,2021,2022,Vigía del Fuerte,05873,Atrato,31,81.7,2.635,1.9,13.7,3.23,shapefile_ok
2021-2022,2021,2022,Chigorodó,05172,Centro,39,78.74,2.019,1.88,4.9,0.0,shapefile_ok
2021-2022,2021,2022,Carepa,05147,Centro,7,27.63,3.947,2.36,10.77,14.29,shapefile_ok
2021-2022,2021,2022,Necoclí,05490,Caribe,10,21.42,2.142,1.885,6.01,0.0,shapefile_ok
2021-2022,2021,2022,Arboletes,05051,Caribe,2,14.28,7.14,7.14,7.43,0.0,shapefile_ok
2021-2022,2021,2022,San Juan de Urabá,05659,Caribe,2,13.1,6.55,6.55,11.86,50.0,shapefile_ok
2021-2022,2021,2022,San Pedro de Urabá,05665,Caribe,4,7.53,1.882,1.93,2.67,0.0,shapefile_ok
2021-2022,2021,2022,Giraldo,05306,Nutibara,1,7.4,7.4,7.4,7.4,0.0,shapefile_ok
2021-2022,2021,2022,Cañasgordas,05138,Nutibara,3,5.7,1.9,1.92,2.32,0.0,shapefile_ok
2021-2022,2021,2022,Abriaquí,05004,Nutibara,3,5.17,1.723,1.34,2.51,0.0,shapefile_ok
2021-2022,2021,2022,Peque,05543,Nutibara,2,3.07,1.535,1.535,1.6,0.0,shapefile_ok
2022-2023,2022,2023,Urrao,05847,Urrao,124,260.57,2.101,1.66,12.69,0.81,shapefile_ok
2022-2023,2022,2023,Dabeiba,05234,Nutibara,62,140.27,2.262,1.725,7.17,0.0,shapefile_ok
2022-2023,2022,2023,Turbo,05837,Centro,45,108.12,2.403,1.74,15.86,2.22,shapefile_ok
2022-2023,2022,2023,Frontino,05284,Nutibara,37,82.04,2.217,1.5,18.59,2.7,shapefile_ok
2022-2023,2022,2023,Mutatá,05480,Centro,30,75.97,2.532,1.8,10.13,3.33,shapefile_ok
2022-2023,2022,2023,Arboletes,05051,Caribe,2,58.66,29.33,29.33,57.6,50.0,shapefile_ok
